potential_donor_id,latitude,longitude,abo,rhd,contacted_status,signup_date,source,email,phone
POT000029,17.391013198789956,78.44287518939872,O,pos,not-contacted,2024-08-30,synthetic,user282@example.com,+919278870754
POT000030,17.395000099842637,78.48233005719682,B,pos,not-contacted,2026-01-02,synthetic,user292@gmail.com,+918112789142
POT000031,17.415163183665527,78.45062081496968,,,not-contacted,2025-02-04,synthetic,user303@yahoo.co.in,+917007908643
POT000032,17.409774790106486,78.45596806577353,,,not-contacted,2025-06-26,synthetic,user313@outlook.com,+918219738946
POT000033,17.401050080846407,79.05420797679731,B,pos,not-contacted,2026-01-23,synthetic,user322@example.com,+917675124570
POT000034,17.363799773860826,78.595971065313,B,pos,not-contacted,2026-02-24,synthetic,user332@gmail.com,+916677253628
POT000035,17.410034405436363,79.07833682816405,AB,pos,not-contacted,2025-09-26,synthetic,user343@yahoo.co.in,+919040203945
POT000036,17.386997529214007,79.13885082222792,O,pos,not-contacted,2024-10-03,synthetic,user353@outlook.com,+918664699600
POT000037,17.367213629840734,78.4998087029441,O,pos,not-contacted,2024-12-22,synthetic,user362@example.com,+916401726283
POT000038,17.50734506312981,78.44283512511375,O,pos,not-contacted,2025-03-09,synthetic,user372@gmail.com,+919245264811
POT000039,17.375828433894306,78.46648458714758,,,not-contacted,2026-04-04,synthetic,user383@yahoo.co.in,+916888967241
POT000040,17.411048701272627,78.48426606401135,,,not-contacted,2026-05-24,synthetic,user393@outlook.com,+919460714709
POT000041,17.385545655760207,78.47378676313974,B,neg,not-contacted,2024-09-03,synthetic,user402@example.com,+919528120526
POT000042,17.409734535509973,78.6236056908502,,,not-contacted,2026-05-07,synthetic,user412@gmail.com,+916175975940
POT000043,17.409624745371055,78.47807497386916,O,pos,not-contacted,2026-02-05,synthetic,user423@yahoo.co.in,+918756603883
POT000044,17.41174261503131,78.22861918116779,O,pos,not-contacted,2024-07-13,synthetic,user433@outlook.com,+916042876124
POT000045,13.079673892022003,78.43964336797225,,,not-contacted,2025-09-06,synthetic,user442@example.com,+916875756726
POT000046,17.386988945342004,78.46861851834645,O,pos,not-contacted,2024-07-10,synthetic,user452@gmail.com,+916849425847
POT000047,17.39847467354456,78.49600051268453,B,pos,not-contacted,2026-03-03,synthetic,user463@yahoo.co.in,+919879274923
POT000048,17.38955102533176,78.60630524215101,B,pos,not-contacted,2026-04-23,synthetic,user473@outlook.com,+916274564829
POT000049,17.402686346269565,72.84394597727176,O,pos,not-contacted,2025-10-20,synthetic,user482@example.com,+917106438362
POT000050,17.400212888573844,78.45915314058995,,,not-contacted,2024-09-13,synthetic,user492@gmail.com,+919844556723
POT000051,17.396135651042666,78.46437851963226,B,pos,not-contacted,2024-10-30,synthetic,user503@yahoo.co.in,+918472944137
POT000052,17.39092373500992,78.47706189186958,B,pos,not-contacted,2025-11-19,synthetic,user513@outlook.com,+919820951494
POT000053,18.933588772195478,78.30521234257593,O,pos,not-contacted,2025-05-08,synthetic,user522@example.com,+916609338525
POT000054,21.147394887533387,78.49181462446909,A,pos,not-contacted,2024-11-19,synthetic,user532@gmail.com,+918593993557
POT000055,17.401897068610033,78.46299436207221,O,pos,not-contacted,2025-04-09,synthetic,user543@yahoo.co.in,+916036049650
POT000056,17.398644655568596,78.45661830234464,O,pos,not-contacted,2025-08-29,synthetic,user553@outlook.com,+918039307891
POT000057,17.387088631275553,78.53995874155247,,,not-contacted,2025-09-10,synthetic,user562@example.com,+918916343111
POT000058,17.40702887244065,79.06116012736051,,,not-contacted,2025-03-24,synthetic,user572@gmail.com,+917015674097
POT000059,13.0494522099997,79.11050588510929,,,not-contacted,2025-03-17,synthetic,user583@yahoo.co.in,+919762064383
POT000060,17.404108982994178,78.527394961256,O,pos,not-contacted,2026-04-22,synthetic,user593@outlook.com,+916754279867
POT000061,13.235000439933827,78.05949618547425,AB,pos,not-contacted,2024-12-01,synthetic,user602@example.com,+916040954902
POT000062,17.405263549104703,78.46224830127866,,,not-contacted,2024-10-12,synthetic,user612@gmail.com,+918533882932
POT000063,17.39286961259666,78.44983594200127,O,pos,not-contacted,2025-03-04,synthetic,user623@yahoo.co.in,+916281845362
POT000064,17.41893503657593,78.4440775823469,B,pos,not-contacted,2025-01-30,synthetic,user633@outlook.com,+916647847990
POT000065,17.410616439377012,78.49069984596835,AB,pos,not-contacted,2026-01-15,synthetic,user642@example.com,+919416640130
POT000066,17.373010112416594,79.29264590554766,B,pos,not-contacted,2026-04-10,synthetic,user652@gmail.com,+916276802840
POT000067,17.378693103845077,78.43694531873118,A,pos,not-contacted,2026-04-14,synthetic,user663@yahoo.co.in,+919199667912
POT000068,17.402088918810005,78.5936788378614,B,pos,not-contacted,2024-12-27,synthetic,user673@outlook.com,+916846776137
POT000069,17.39329402331918,78.47576640176345,,,not-contacted,2025-11-01,synthetic,user682@example.com,+917514520229
POT000070,17.412336894518706,78.45698695775522,B,pos,not-contacted,2025-04-27,synthetic,user692@gmail.com,+919126234566
POT000071,19.072934635797168,78.48295695736597,O,pos,not-contacted,2025-05-01,synthetic,user703@yahoo.co.in,+919625774193
POT000072,17.404357501225135,78.52539604037175,B,pos,not-contacted,2025-12-20,synthetic,user713@outlook.com,+916343550688
POT000073,17.386907701230477,78.48368151306573,AB,pos,not-contacted,2025-08-16,synthetic,user722@example.com,+917114874284
POT000074,17.369668757574594,78.48879171256576,,,not-contacted,2025-10-11,synthetic,user732@gmail.com,+919182744544
POT000075,17.39985466113609,78.01949925943008,AB,pos,not-contacted,2025-01-25,synthetic,user743@yahoo.co.in,+916434679929
POT000076,17.40044963137128,78.44249974149793,O,pos,not-contacted,2024-11-09,synthetic,user753@outlook.com,+916295988406
POT000077,17.390312221440045,78.32313705178302,O,pos,not-contacted,2024-11-07,synthetic,user762@example.com,+917291188427
POT000078,17.408889909110076,78.44910557318082,AB,pos,not-contacted,2024-06-18,synthetic,user772@gmail.com,+917444834366
POT000079,17.48263672981203,78.45629472693959,,,not-contacted,2026-03-20,synthetic,user783@yahoo.co.in,+916089921318
POT000080,13.056964194350975,78.83206134564409,,,not-contacted,2024-10-23,synthetic,user793@outlook.com,+919317696278
POT000081,17.41227193921974,78.45289459217354,A,pos,not-contacted,2025-08-19,synthetic,user802@example.com,+916043376732
POT000082,31.39663387525929,72.8337273166864,,,not-contacted,2024-12-01,synthetic,user812@gmail.com,+919786826980
POT000083,17.508922839902198,78.47148268344715,,,not-contacted,2025-04-09,synthetic,user823@yahoo.co.in,+918685162609
POT000084,17.410557600890133,78.05497503374673,,,not-contacted,2024-10-10,synthetic,user833@outlook.com,+919673337886
POT000085,17.376685278075456,78.46405875156022,B,pos,not-contacted,2025-09-12,synthetic,user842@example.com,+919307607260
POT000086,19.479236114063553,78.46542509464749,O,pos,not-contacted,2026-03-10,synthetic,user852@gmail.com,+918148922391
POT000087,17.437727417262685,78.44082484501713,,,not-contacted,2025-06-14,synthetic,user863@yahoo.co.in,+918413065496
POT000088,17.403515402713083,77.3637789355643,B,pos,not-contacted,2024-06-16,synthetic,user873@outlook.com,+916520766237
POT000089,17.3777131443785,78.48014671434453,A,pos,not-contacted,2024-06-18,synthetic,user882@example.com,+919708904482
POT000090,17.37289831291933,78.46333292566274,O,pos,not-contacted,2025-04-11,synthetic,user892@gmail.com,+917754439414
POT000091,17.36297977008979,79.24643809546424,,,not-contacted,2024-10-22,synthetic,user903@yahoo.co.in,+917122345182
POT000092,17.401513946303663,78.49137279810925,O,pos,not-contacted,2025-11-26,synthetic,user913@outlook.com,+917349605154
POT000093,17.482362313256882,78.48309180993023,,,not-contacted,2025-07-01,synthetic,user922@example.com,+917011507220
POT000094,18.43779863244863,78.48463810860574,,,not-contacted,2025-11-29,synthetic,user932@gmail.com,+917573554934
POT000095,17.38177763546988,78.47979510965287,O,neg,not-contacted,2025-07-07,synthetic,user943@yahoo.co.in,+917352527158
POT000096,17.38391029832333,77.35830217463099,,,not-contacted,2025-05-11,synthetic,user953@outlook.com,+918503809710
POT000097,17.400929921621483,78.47901799595273,B,pos,not-contacted,2025-10-25,synthetic,user962@example.com,+916782874007
POT000098,17.403666305834715,79.11337015123368,A,pos,not-contacted,2026-04-20,synthetic,user972@gmail.com,+919169943992
POT000099,17.411419967202352,78.45881027840723,A,pos,not-contacted,2025-09-18,synthetic,user983@yahoo.co.in,+918141468535
POT000100,17.373327639002767,79.125923266999,,,not-contacted,2025-06-25,synthetic,user993@outlook.com,+916890135188
POT000101,17.35637437113657,78.46482875954361,A,pos,not-contacted,2025-05-01,synthetic,user1002@example.com,+917023895040
POT000102,17.406970826340622,72.85034271353986,,,not-contacted,2024-11-12,synthetic,user1012@gmail.com,+918637840807
POT000103,14.683974829874304,78.27922107504095,,,not-contacted,2025-05-16,synthetic,user1023@yahoo.co.in,+918945038289
POT000104,17.38669637987056,78.46612849206808,A,pos,not-contacted,2024-08-05,synthetic,user1033@outlook.com,+916181016416
POT000105,17.409006262778544,78.49710669750178,,,not-contacted,2026-03-17,synthetic,user1042@example.com,+916471131411
POT000106,18.115327744125267,80.20833278891878,,,not-contacted,2025-08-23,synthetic,user1052@gmail.com,+918704065527
POT000107,17.403863165023093,79.12058793686967,O,pos,not-contacted,2025-05-24,synthetic,user1063@yahoo.co.in,+918756429739
POT000108,17.378982095030484,78.49499034750042,O,pos,not-contacted,2025-01-06,synthetic,user1073@outlook.com,+919897717169
POT000109,17.40157090075193,72.86427076749484,,,not-contacted,2024-07-15,synthetic,user1082@example.com,+916213529080
POT000110,17.428012467844987,83.21167195884271,,,not-contacted,2025-05-08,synthetic,user1092@gmail.com,+918772648398
POT000111,17.418178084936038,78.4869658851535,,,not-contacted,2024-12-11,synthetic,user1103@yahoo.co.in,+919731415953
POT000112,17.401369419560222,78.48859217326415,B,pos,not-contacted,2025-02-10,synthetic,user1113@outlook.com,+917728270681
POT000113,17.41074594273822,79.10514829766362,B,pos,not-contacted,2025-02-15,synthetic,user1122@example.com,+919274084910
POT000114,17.420663722901548,78.4773502096049,,,not-contacted,2025-05-26,synthetic,user1132@gmail.com,+919708929122
POT000115,17.331608108370794,79.62643500115617,O,pos,not-contacted,2024-09-05,synthetic,user1143@yahoo.co.in,+917718986963
POT000116,31.38814004216478,78.4657983977034,O,pos,not-contacted,2025-02-02,synthetic,user1153@outlook.com,+917193494548
POT000117,17.368130813704248,78.45340782631824,,,not-contacted,2026-02-10,synthetic,user1162@example.com,+916402689022
POT000118,17.382362762355342,78.29844903521784,,,not-contacted,2025-08-26,synthetic,user1172@gmail.com,+917016731359
POT000119,17.38179521123298,78.4760141015206,O,pos,not-contacted,2025-06-29,synthetic,user1183@yahoo.co.in,+918183806136
POT000120,17.397188385925904,78.45682445574163,A,pos,not-contacted,2025-10-09,synthetic,user1193@outlook.com,+916885056557
POT000121,17.38964171297211,72.86260005847976,,,not-contacted,2024-06-19,synthetic,user1202@example.com,+917430102556
POT000122,17.6224929715742,78.48303791688116,,,not-contacted,2025-11-30,synthetic,user1212@gmail.com,+917617895033
POT000123,17.395819495857157,78.47034847280291,O,neg,not-contacted,2026-02-16,synthetic,user1223@yahoo.co.in,+919668417393
POT000124,17.410566903616782,78.57003887507696,A,pos,not-contacted,2025-07-08,synthetic,user1233@outlook.com,+918756933294
POT000125,14.690976713417957,78.6267374102651,AB,pos,not-contacted,2025-07-27,synthetic,user1242@example.com,+917742409458
POT000126,17.363188205897938,77.58752812823501,,,not-contacted,2025-04-03,synthetic,user1252@gmail.com,+918221754610
POT000127,17.375543394925536,78.4819488943155,B,pos,not-contacted,2025-11-25,synthetic,user1263@yahoo.co.in,+916033693394
POT000128,17.493837827030287,78.29816569747102,B,pos,not-contacted,2024-11-17,synthetic,user1273@outlook.com,+919927579908
POT000129,19.012735093442682,78.49251930074394,,,not-contacted,2025-10-24,synthetic,user1282@example.com,+918442309118
POT000130,17.404252778996966,78.09730147388447,AB,pos,not-contacted,2025-11-01,synthetic,user1292@gmail.com,+918053509104
POT000131,17.4059952380696,78.55890298542637,B,pos,not-contacted,2025-05-31,synthetic,user1303@yahoo.co.in,+918556074168
POT000132,17.408073481415,78.4589869562839,,,not-contacted,2025-03-30,synthetic,user1313@outlook.com,+918368950804
POT000133,17.4202106658499,78.4543299201378,,,not-contacted,2025-10-01,synthetic,user1322@example.com,+916353685996
POT000134,17.395067792837764,78.47673285747884,,,not-contacted,2026-03-14,synthetic,user1332@gmail.com,+917036145693
POT000135,13.062638803584154,78.4543459522752,A,pos,not-contacted,2026-03-05,synthetic,user1343@yahoo.co.in,+919134596973
POT000136,21.158208584285052,79.08875979595177,O,pos,not-contacted,2024-08-16,synthetic,user1353@outlook.com,+916273014933
POT000137,17.4233555111114,78.47016639434706,O,pos,not-contacted,2026-01-14,synthetic,user1362@example.com,+918913647447
POT000138,17.376431259639226,78.59539612889343,B,pos,not-contacted,2024-11-29,synthetic,user1372@gmail.com,+918254589661
POT000139,17.409954754883454,78.49667378074167,O,pos,not-contacted,2026-05-21,synthetic,user1383@yahoo.co.in,+918738966593
POT000140,17.3986136788584,78.47755680395701,A,pos,not-contacted,2025-04-27,synthetic,user1393@outlook.com,+919726948485
POT000141,17.150419406251967,78.46308414391436,A,pos,not-contacted,2024-12-28,synthetic,user1402@example.com,+919406494471
POT000142,17.39957451694716,78.47260368286507,O,pos,not-contacted,2024-10-10,synthetic,user1412@gmail.com,+916536411100
POT000143,17.974561096611215,78.47743213013558,O,pos,not-contacted,2025-02-25,synthetic,user1423@yahoo.co.in,+919865146538
POT000144,17.51189798991276,78.02871583391594,A,pos,not-contacted,2024-08-28,synthetic,user1433@outlook.com,+917826803378
POT000145,17.388308008901248,78.48266557292641,O,pos,not-contacted,2025-01-28,synthetic,user1442@example.com,+916674954044
POT000146,17.347337274685692,81.98496819501511,,,not-contacted,2025-08-14,synthetic,user1452@gmail.com,+918368997603
POT000147,17.403039075511074,78.575780098378,,,not-contacted,2025-11-30,synthetic,user1463@yahoo.co.in,+919087300178
POT000148,15.141260049202934,78.4765774726657,O,pos,not-contacted,2024-11-13,synthetic,user1473@outlook.com,+919930473385
POT000149,17.396577002960253,78.47000524903491,A,pos,not-contacted,2026-04-29,synthetic,user1482@example.com,+916651912008
POT000150,17.048018590677255,78.51778294835906,O,pos,not-contacted,2024-11-04,synthetic,user1492@gmail.com,+916876401352
POT000151,17.40656141199514,78.47064373222459,,,not-contacted,2025-12-10,synthetic,user1503@yahoo.co.in,+917653669099
POT000152,17.506107229971256,78.46685604784864,B,pos,not-contacted,2025-05-19,synthetic,user1513@outlook.com,+918359547139
POT000153,17.416583948781426,78.46036943168318,O,pos,not-contacted,2025-08-24,synthetic,user1522@example.com,+918644452913
POT000154,17.051663605855452,78.46935119309573,AB,pos,not-contacted,2026-01-25,synthetic,user1532@gmail.com,+918013834024
POT000155,17.407533975616204,80.67028827094066,B,pos,not-contacted,2024-06-15,synthetic,user1543@yahoo.co.in,+919693069877
POT000156,17.48359175669299,78.46439970546986,,,not-contacted,2024-12-31,synthetic,user1553@outlook.com,+918889391732
POT000157,13.214963009620039,78.4956383208215,A,pos,not-contacted,2025-08-21,synthetic,user1562@example.com,+918562673549
POT000158,17.388399012515347,78.46420912585984,A,pos,not-contacted,2025-08-16,synthetic,user1572@gmail.com,+918356737831
POT000159,16.584873966823928,77.5969535855097,O,pos,not-contacted,2025-07-08,synthetic,user1583@yahoo.co.in,+918342484329
POT000160,17.382842579211562,78.48068567725828,,,not-contacted,2025-03-07,synthetic,user1593@outlook.com,+918144129416
POT000161,17.380632662315943,78.49776192542733,,,not-contacted,2025-05-21,synthetic,user1602@example.com,+917496730688
POT000162,17.372768617672374,77.5794693874507,O,pos,not-contacted,2024-08-10,synthetic,user1612@gmail.com,+918637557161
POT000163,17.401245118594456,78.4837249960761,O,pos,not-contacted,2026-02-24,synthetic,user1623@yahoo.co.in,+919254133866
POT000164,21.15957768064198,78.45624916725023,AB,pos,not-contacted,2024-10-25,synthetic,user1633@outlook.com,+917547893153
POT000165,17.39437746431778,78.47596959008973,B,pos,not-contacted,2024-08-28,synthetic,user1641@example.com,+917216280061
POT000166,18.099441453654904,78.46878563045044,,,not-contacted,2025-06-29,synthetic,user1651@gmail.com,+918367229835
POT000167,17.407123854363494,78.45110554821397,,,not-contacted,2025-05-04,synthetic,user1661@yahoo.co.in,+916301411891
POT000168,13.274135423512258,77.57628834745294,,,not-contacted,2024-10-12,synthetic,user1672@outlook.com,+919835611713
POT000169,17.044455829568395,79.59436685111959,B,pos,not-contacted,2024-10-02,synthetic,user1681@example.com,+918036797916
POT000170,17.502028678480382,78.47532687677285,AB,pos,not-contacted,2024-07-10,synthetic,user1691@gmail.com,+916389834509
POT000171,17.38185448649912,80.24938381822518,O,pos,not-contacted,2025-01-18,synthetic,user1701@yahoo.co.in,+916159859697
POT000172,17.38399238233368,75.41485041842137,O,pos,not-contacted,2025-02-20,synthetic,user1712@outlook.com,+919621556079
POT000173,17.44615164375868,78.45687703200731,,,not-contacted,2025-01-31,synthetic,user1721@example.com,+916475840792
POT000174,17.39256388454168,78.47165137352309,,,not-contacted,2024-09-09,synthetic,user1731@gmail.com,+918036039344
POT000175,17.403309655417008,78.49243517205069,,,not-contacted,2024-08-10,synthetic,user1741@yahoo.co.in,+917774332665
POT000176,17.407133846227723,78.34168416429183,AB,pos,not-contacted,2026-01-28,synthetic,user1752@outlook.com,+918035767316
POT000177,17.924242348720135,78.45228841421894,O,pos,not-contacted,2026-05-16,synthetic,user1761@example.com,+919051679825
POT000178,17.453827378000476,78.45847705922061,,,not-contacted,2025-07-31,synthetic,user1771@gmail.com,+917867964465
POT000179,17.403297348632172,78.47198265452538,AB,pos,not-contacted,2025-05-16,synthetic,user1781@yahoo.co.in,+916163294523
POT000180,17.388268056532894,78.4625648751446,,,not-contacted,2025-10-06,synthetic,user1792@outlook.com,+917023170700
POT000181,17.39173559084128,78.4528194330515,,,not-contacted,2025-02-09,synthetic,user1801@example.com,+916096496662
POT000182,17.345013485559285,78.49209712246792,AB,pos,not-contacted,2025-03-10,synthetic,user1811@gmail.com,+917818173213
POT000183,17.37787967182872,78.46346949221825,O,pos,not-contacted,2026-05-28,synthetic,user1821@yahoo.co.in,+917174579137
POT000184,17.409054447855297,79.04434995673701,O,pos,not-contacted,2025-04-23,synthetic,user1832@outlook.com,+916147211773
POT000185,17.417777558854528,78.47175272069966,B,pos,not-contacted,2025-04-13,synthetic,user1841@example.com,+918662320454
POT000186,17.379105012983423,72.9488550667138,,,not-contacted,2026-04-25,synthetic,user1851@gmail.com,+916267297777
POT000187,14.676880703130657,72.86402573791267,O,pos,not-contacted,2025-07-09,synthetic,user1861@yahoo.co.in,+916080196430
POT000188,17.39516542082698,78.53493507842961,O,pos,not-contacted,2026-05-10,synthetic,user1872@outlook.com,+916876278687
POT000189,17.378044931917973,78.456064707336,,,not-contacted,2025-06-17,synthetic,user1881@example.com,+919169075748
POT000190,17.480103831088613,79.32320162350649,,,not-contacted,2026-04-15,synthetic,user1891@gmail.com,+918183443647
POT000191,17.39200751528588,78.45286673138844,,,not-contacted,2025-12-06,synthetic,user1901@yahoo.co.in,+917374199540
POT000192,21.13927588853949,78.49027357390695,O,pos,not-contacted,2025-06-02,synthetic,user1912@outlook.com,+917703611409
POT000193,17.373685348026648,78.50209780996448,B,pos,not-contacted,2025-04-30,synthetic,user1921@example.com,+919123878961
POT000194,31.35632995066859,78.44983378469976,,,not-contacted,2026-03-30,synthetic,user1931@gmail.com,+916522872327
POT000195,19.47023013579216,78.47682478109176,B,pos,not-contacted,2025-06-03,synthetic,user1941@yahoo.co.in,+919529232952
POT000196,15.172577264005264,78.4866765433525,,,not-contacted,2025-04-08,synthetic,user1952@outlook.com,+919878182828
POT000197,17.40037364897329,78.44894595272734,,,not-contacted,2025-04-26,synthetic,user1961@example.com,+917670848446
POT000198,19.49934429463386,79.06647472807197,AB,pos,not-contacted,2025-03-02,synthetic,user1971@gmail.com,+916313884595
POT000199,17.416583525484807,78.45554606279248,A,pos,not-contacted,2024-08-26,synthetic,user1981@yahoo.co.in,+919135376227
POT000200,17.38591114896004,78.44194580353575,AB,pos,not-contacted,2025-06-06,synthetic,user1992@outlook.com,+919957378248
POT000201,17.39033183616628,78.48282301605404,B,pos,not-contacted,2026-04-25,synthetic,user2001@example.com,+918334424869
POT000202,17.3987615059118,79.05885601737651,,,not-contacted,2024-10-15,synthetic,user2011@gmail.com,+918768544888
POT000203,17.411027238665454,78.37653659471428,B,pos,not-contacted,2025-08-29,synthetic,user2021@yahoo.co.in,+918819909694
POT000204,19.223509840139986,78.49907686200852,O,pos,not-contacted,2025-10-02,synthetic,user2032@outlook.com,+916389687747
POT000205,17.383253117313792,78.4579271623874,O,pos,not-contacted,2026-03-13,synthetic,user2041@example.com,+918616163584
POT000206,17.378379028107265,78.45793238797505,B,pos,not-contacted,2026-04-02,synthetic,user2051@gmail.com,+917917591028
POT000207,15.161585049902317,78.4734524775676,O,pos,not-contacted,2025-09-04,synthetic,user2061@yahoo.co.in,+919430387035
POT000208,18.915009130544068,78.47778027658885,B,pos,not-contacted,2026-02-22,synthetic,user2072@outlook.com,+918960071010
POT000209,17.394446650020953,78.4540710633306,A,pos,not-contacted,2024-07-23,synthetic,user2081@example.com,+919009544468
POT000210,17.411941655281165,78.51325849222923,O,pos,not-contacted,2025-06-04,synthetic,user2091@gmail.com,+918394691465
POT000211,17.370952228661416,79.0852834168661,A,neg,not-contacted,2026-02-09,synthetic,user2101@yahoo.co.in,+916597626784
POT000212,17.415110875474724,78.48397083193404,B,pos,not-contacted,2024-11-29,synthetic,user2112@outlook.com,+918895443202
POT000213,17.400400178030264,78.47220859928717,O,pos,not-contacted,2026-04-25,synthetic,user2121@example.com,+918520225075
POT000214,17.36793619261302,78.45290156183786,,,not-contacted,2025-07-04,synthetic,user2131@gmail.com,+918490339379
POT000215,18.95206254915528,79.64883635260097,B,neg,not-contacted,2025-06-16,synthetic,user2141@yahoo.co.in,+916935857581
POT000216,18.426113984050122,78.48048350274998,,,not-contacted,2024-08-17,synthetic,user2152@outlook.com,+919472723885
POT000217,17.40130537106275,78.44761646784806,,,not-contacted,2025-01-18,synthetic,user2161@example.com,+919936761689
POT000218,17.403121879997343,78.46037748499131,A,pos,not-contacted,2024-09-24,synthetic,user2171@gmail.com,+919741024239
POT000219,18.447332350759332,78.45300966064886,B,pos,not-contacted,2025-12-20,synthetic,user2181@yahoo.co.in,+917320883315
POT000220,17.371637251323097,78.47081985483409,,,not-contacted,2025-12-03,synthetic,user2192@outlook.com,+917587241627
POT000221,14.669833918946221,78.50499850437626,B,pos,not-contacted,2025-05-07,synthetic,user2201@example.com,+919958027645
POT000222,17.37431281722918,78.46236085088783,AB,pos,not-contacted,2024-09-01,synthetic,user2211@gmail.com,+918547499180
POT000223,17.376128475072548,78.46934144851477,,,not-contacted,2025-05-16,synthetic,user2221@yahoo.co.in,+918678867583
POT000224,19.114901301201325,78.47313382422068,A,pos,not-contacted,2025-01-05,synthetic,user2232@outlook.com,+918720904600
POT000225,17.38182487822863,78.4978015153311,B,pos,not-contacted,2025-07-06,synthetic,user2241@example.com,+917699360102
POT000226,17.376036419001355,78.46042671971425,,,not-contacted,2025-11-13,synthetic,user2251@gmail.com,+919900191304
POT000227,19.47217199166991,78.44833588212066,,,not-contacted,2024-07-24,synthetic,user2261@yahoo.co.in,+916703903567
POT000228,17.459349358712355,79.28359244994272,B,pos,not-contacted,2026-02-07,synthetic,user2272@outlook.com,+916360389519
POT000229,17.39068090318072,78.46764762887973,B,pos,not-contacted,2025-09-12,synthetic,user2281@example.com,+916369792988
POT000230,17.130230489289733,78.4935466853235,,,not-contacted,2024-09-04,synthetic,user2291@gmail.com,+916203013870
POT000231,17.368258300218773,78.4681595188695,,,not-contacted,2026-02-04,synthetic,user2301@yahoo.co.in,+918368753903
POT000232,17.39569789544,78.38257309882734,O,pos,not-contacted,2024-10-20,synthetic,user2312@outlook.com,+916079560840
POT000233,17.15081928183749,78.47407015937526,,,not-contacted,2025-08-21,synthetic,user2321@example.com,+918044981400
POT000234,17.381975212379228,77.59533330936212,,,not-contacted,2024-11-27,synthetic,user2331@gmail.com,+916927218555
POT000235,17.44277760773284,78.4553037831935,O,pos,not-contacted,2024-10-12,synthetic,user2341@yahoo.co.in,+919839434910
POT000236,17.421820966663194,78.45096588715884,,,not-contacted,2024-08-30,synthetic,user2352@outlook.com,+919393123088
